id,type_id,name,product-quanty,fav,display_price,price,img-cover,img-1,img-2,img-3,release_time,language,rating_id,co-op_valid,description,member_id,created_at,valid,exist_valid
1,2,探靈直播,,,1090,981,Livestream.jpg,Livestream-0.jpg,Livestream-1.jpg,Livestream-2.jpg,2021-12-16,"[CH,EN]",3,0,故事描述在櫻井的提案下，身為實況主的生駒、櫻井和白石三人 前往知名恐怖景點「伊邪那美酒店」拍攝些鬼影幢幢的影片。 原本她們只是想渲染些特效， 能夠平安無事地結束拍攝就好，沒想到…… 在攝影期間，走散的生駒被突如其來的人偶給襲擊， 之後一直徘徊在酒店裡的三人數度遭受威脅。 為何人偶不斷襲擊三人，又為何始終會走不出酒店呢？ 究竟三人能否平安無事地逃離酒店呢？ 在廢棄酒店裡的直播即將開始…… <遊戲概要> 本作為解謎脫逃之冒險遊戲。角色人物需逃離殺人玩偶的魔掌， 並在廢棄酒店裡尋找相關逃脫之線索。 玩家的每個決定都將影響她們的生死。 <系統> ■ 躲藏並逃離人偶吧！ 在廢棄酒店裡到處探險時，一身血漬拿著斧頭的人偶， 開始追著直播的三人！ 當遇到人偶時，必須要趕緊逃開、或是藏身避開人偶的追擊。 要是被一刀給劈下，必死無疑。（遊戲結束） ■ 這是詛咒！？ 直播的女孩們面臨到危及生命的生存危機！ 在廢棄酒店中將面臨各種危機。 調查周遭以獲得相關的線索，善用道具化解生存的危機。 你甚至可以在她們最危機的時刻， 伸手觸碰她們……這難道也是種詛咒！？ ■ 善用提示和道具，這些將能協助找到逃脫的線索！ 在廢棄酒店內尋找各項道具和提示。 搜索房間內的各個角落，以獲得相關的提示。 這將大大改變這些女孩們的命運…… ※ 《探靈直播》中不支援觸控螢幕功能。,1,2023-09-08 10:09:00,1,
2,4,羅德斯島戰記 蒂德莉特的奇境冒險,,,1400,1260,RecordofLodoss-War.jpg,RecordofLodoss-War-0,RecordofLodoss-War-1,RecordofLodoss-War-2,2021-12-16,,2,0,"是由水野良撰寫的奇幻小說，描述了被詛咒的島嶼 “羅德斯島” 上的英雄們的興衰和冒險傳說。《羅德斯島戰記》在日本以「奇幻世界的里程碑」而聞名，也是輕小說的先驅，目前是暢銷小說作品之一，發行累積數超過 1000 萬冊。作品跟許多媒體聯動進行了動畫化，也曾推出過前傳作品《羅德斯島傳說》，續作《新羅德斯島戰記》，2019 年發行了續篇《羅德斯島戰記 誓約之寶冠》。
　　本篇中的主角是一位年輕的戰士 “帕恩”，女主角是永遠的少女精靈 “蒂德莉特”。此外，還與神官 “埃特” 和魔法師 “史列因” 等許多伙伴一起踏上前往羅德斯島之旅。
遊戲故事描述蒂德莉特醒來時，發現身處陌生的地方。到底這兒是哪裡？回答的只有寂靜無聲的空氣。蒂德莉特為了尋找答案，徐徐地邁出第一步…
　　迷宮的神秘面紗終於在完成版中揭曉。遊戲故事將掀起小說《羅德斯島戰記》最新作品《誓約之寶冠》的高潮……
　　操縱各種武器和魔法力量，走進廣大迷宮的探索型動作遊戲。透過「靈魂流」強化精靈，讓玩家在推進戰鬥時更有利，發揮「精靈希魯芙」和「精靈沙羅曼蛇」2 種精靈力量和操縱弓箭，突破各種關卡。",2,2023-09-09 10:09:00,1,
3,8,死亡微笑 I?II（DEATHSMILES I?II）,,,1300,1170,DeathSmiles.jpg,,,,2021-12-16,,3,1,,3,2023-09-10 10:09:00,1,
4,3,PUI PUI 天竺鼠車車 一起來！天竺鼠車車派對！,,,1290,1161,PUIPUI.jpg,PUIPUI-0.jpg,PUIPUI-1.jpg,PUIPUI-2.jpg,2021-12-16,,1,1,"人氣作品《PUI PUI 天竺鼠車車》的遊戲終於在 Nintendo Switch 登場，《PUI PUI 天竺鼠車車 一起來！天竺鼠車車派對！》的舞台是全新的城鎮──天竺鼠鎮。和天竺鼠車車們一起打造多彩多姿的城鎮，一起來參與熱鬧的派對。作中共有 10 種各具特色的小遊戲，包含「天竺鼠節奏」、「天竺鼠足球」、「天竺鼠警察抓小偷」等，與朋友分享 Joy-Con，最多可以 4 人對戰同樂，不論單人還是多人都能開心遊玩。只要持續發展城鎮建設，天竺鼠車車就會來到天竺鼠鎮遊玩，玩家能遇見 40 種以上的天竺鼠車車，玩家可以餵食喜歡的天竺鼠車車或是摸摸牠，增進感情。在有很多天竺鼠車車的地方放置食物的話，天竺鼠車車們也會蜂擁而至。
　　此外，玩家也可利用種類豐富的裝飾品打造自己喜歡的模樣，自由搭配 80 種以上的裝飾品，還有許多只出現在此的遊戲原創裝飾品。打造出自己喜歡的模樣後，也可照相館拍下照片分享給大家。",4,2023-09-11 10:09:00,1,
5,2,舊書店街的橋姬 NOMA,,,1500,1350,NOMA.jpg,,,,2021-12-16,,4,0,,5,2023-09-12 10:09:00,1,
6,2,迪士尼魔法城堡 我的快樂生活 2：Enchanted Edition,,,990,891,MagicCastle2.jpg,MagicCastle2-0.jpg,MagicCastle2-1.jpg,MagicCastle2-2.jpg,2021-12-02,,2,0,"夢想世界即將綻放閃耀光芒！
和米奇們一起成為夢想世界的居民，與迪士尼朋友們一起出門遊玩、購物、打扮、釣魚、慶祝生日、參加舞會等，體驗各種令人興奮的事件。
盡情在專屬於你的夢想世界遊玩吧！
魔法城堡中還有「冰雪奇緣」、「小美人魚」、「白雪公主」……等六個世界，可以和喜歡的角色們一起冒險。
遊戲內將有超過100個迪士尼角色登場！
你還可以收集材料製作服裝與家具，並裝飾咖啡廳來招待迪士尼朋友們。
到了夜晚還能看到閃亮耀眼的燈光秀……有各種遊玩方式！
好好享受在魔法王國中的璀璨時間吧！

※本製品為2015年發售的3DS版「Disney 魔法城堡 我的快樂生活2」的移植版，但部分內容會因硬體不同而有差異。",1,2023-09-13 10:09:00,1,
7,4,鏟子騎士：口袋地城,,,1290,1161,ShovelKnightPocketDungeon.jpg,ShovelKnightPocketDungeon-0.jpg,ShovelKnightPocketDungeon-1.jpg,ShovelKnightPocketDungeon-2.jpg,2021-12-13,,1,1,"鏟子騎士：無盡寶藏包含鏟子騎士系列全作品。這是一部現象級的經典冒險遊戲。在趣味的遊戲體驗、懷舊的人物和8位元的懷舊畫面中，成為鏟子騎士，跑跳戰鬥，揮舞鏟子，為失去的摯愛而戰。打倒窮凶極惡的無情騎士團和他們的頭領：幻惑女巫。
除此以外，鏟子騎士：無盡寶藏也包含了四個額外遊戲。在四人賽中操控瘟疫騎士、幽魂騎士、國王騎士在究極巔峰決戰中一決高下！他們會共創奇跡！
鏟子騎士：無盡寶藏包含以上所有。與朋友一起遊玩希望之鏟的合作競賽，在挑戰模式中測驗你的實力，在究極巔峰決戰中一決高下，贏得無盡寶藏，發掘正義真諦！
鏟子騎士：希望之鏟——揮舞你的鏟子，開始你的探險之旅！跳躍、對抗敵人、發現寶藏，消滅無情騎士團和他們的頭領幻惑女巫。
鏟子騎士：瘟疫魔影——準備好你的魔藥，成為瘋狂的煉金術師瘟疫騎士，煉製究極藥劑！用炸藥的零件組成武裝，發覺新道具、新區域、新BOSS，或許還有新豔遇。
鏟子騎士：苦痛幽靈——在鏟子騎士的前傳中召喚鐮刀！控制鏟子騎士，摧毀專為攔路而設計的所有台階；翻過高牆，控制武器庫；精確擊敗敵人；成為死神，發掘悲慘的過去，組建無情騎士團！
鏟子騎士：卡牌之王——在最宏大的正統鏟子騎士遊戲中穿上騎士之王的鍍金靴！跳躍、肩撞、收集新物品，在成為卡牌之王的征程上完成自己的目標！
鏟子騎士究極巔峰決戰——與最多4名本地玩家決戰，爭奪寶石、控制喜愛的角色、進入故事模式！掌握每個動作，探索多種物品和場景，在平台對戰遊戲中披露真相！",2,2023-09-14 10:09:00,1,
8,5,MONOPOLY 地產大亨：瘋樂,,,1250,1125,MONOPOLY.jpg,MONOPOLY-0.jpg,MONOPOLY-1.jpg,MONOPOLY-2.jpg,2021-12-09,,1,1,"《MONOPOLY 地產大亨》終極體驗！
《MONOPOLY 地產大亨》將同時推出 Nintendo Switch? 版《MONOPOLY 地產大亨》和《Monopoly 地產大亨：瘋樂》帶來雙重樂趣，提供《Monopoly 地產大亨》的終極體驗。
Nintendo Switch? 版《MONOPOLY 地產大亨》
在家體驗三種獨特的立體圖板，或者出門在外與最多六名玩家一起暢玩，也可以線上遊戲，在快速比賽中挑戰其他玩家。沒時間玩完一局完整遊戲嗎？透過「特殊目標」加快速度，縮短每一局的遊玩時間，還有「行動卡」可以讓人移動到圖板各處與懲罰敵人。打造你的企業帝國，一路交易，邁向勝利！
《MONOPOLY 地產大亨：瘋樂》
以前所未見的方式重新探索你喜愛的《MONOPOLY 地產大亨》遊戲。在時間更短的回合中，與其他玩家在大富翁市的混亂街道競賽、收集資源、購買與升級房地產，干擾你的對手與避開他們的詭計來贏得通往財富的競賽。這就是瘋樂！",3,2023-09-15 10:09:00,1,
9,5,怪獸農場 1 & 2 DX,,,1390,1251,MonsterFarm.jpg,MonsterFarm-0.jpg,MonsterFarm-1.jpg,MonsterFarm-2.jpg,2021-12-09,,2,0,《怪獸農場 1 & 2 DX》遊戲中可讓玩家能夠培養自己的怪獸，並訓練它們在戰鬥和錦標賽中對抗各種珍奇異獸。遊戲擁有多達數百種不同的怪獸類型，每一種怪獸都有專屬的技能和能力，每位農場經營者都可以按照自己的喜好和玩法來培養和訓練最適合的怪獸。即將推出的《怪獸農場 1 & 2 DX》包含之前《怪獸農場》、《怪獸農場 2》英文版未收錄的精彩內容，例如：更多的儲存欄位、凍結欄位和怪獸名人堂欄位。另外也還增加新的功能，包含培養怪獸時可使用的備忘錄功能、隨機戰鬥的排名功能以及能夠加快遊戲進度的高速模式。《怪獸農場》系列作品的最大特色，可讓玩家使用 CD 在遊戲中培養怪獸。每張 CD 擁有專屬 ID，可以培養出不同的怪獸，這個功能將於《怪獸農場 1 & 2 DX》中獲得重製，玩家將能在資料庫中尋找自己喜歡的 CD 並利用其中的資料培育怪獸。玩家將透過龐大的全球曲目資料庫盡情搜尋，並依照喜歡的音樂生成各種怪獸！,4,2023-09-16 10:09:00,1,
10,1,魔眼凝望 EXTRA,,,1670,1503,DemonGaze.jpg,,,,2021-12-09,,3,0,,5,2023-09-17 10:09:00,1,
